id,first_name,last_name,email,gender,ip_address,Lead_ID,Lead_Source,Lead_Creation_Date,Lead_Score,MQL_Flag,MQL_Date,SQL_Flag,SQL_Date,Customer_Flag,Conversion_Date,Customer_ID,Industry,Company_Size,Region,Decision_Maker_Role,ACV_USD,Sales_Cycle_Days,CAC_USD,LTV_USD,Churn_Flag,Churn_Date,Customer_Tenure_Months,Renewals_Count,Expansion_Flag,Logins_Per_Month,Active_Features_Used,Product_Usage_Hours,Tickets_Raised,Avg_Response_Time_Support,NPS_Score,Stage_Probability,Expected_Close_Date,Forecasted_Revenue
20,Geri,Sanders,gsandersj@ovh.net,Male,178.71.223.52,20,LinkedIn,11/7/2023,39,TRUE,4/11/2023,TRUE,4/12/2023,FALSE,8/10/2024,CUST009,Manufacturing,9997,APAC,CEO,22268,39,7296,34609,TRUE,9/12/2025,30,9,TRUE,28,2,61,42,46.9,84,41.6,8/18/2025,16947.2
21,Thor,Adel,tadelk@mediafire.com,Male,167.121.53.6,21,Google Ads,4/18/2024,31,TRUE,5/18/2023,FALSE,4/10/2025,TRUE,6/19/2024,CUST004,Finance,5654,DACH,Consultant,11170,26,665,23177,FALSE,11/16/2025,1,1,TRUE,34,10,143,0,29,9,8,11/23/2025,21556.4
22,Quintus,Tree,qtreel@360.cn,Male,140.56.1.126,22,Google Ads,8/27/2024,83,TRUE,7/16/2024,FALSE,10/5/2023,FALSE,2/2/2024,CUST008,Finance,9644,US,Head of Ops,13141,32,1520,46710,TRUE,12/19/2024,10,7,FALSE,9,6,190,50,18.1,55,87.5,5/1/2026,24222.5
23,Ethe,Washtell,ewashtellm@nih.gov,Male,185.108.190.116,23,Website,2/18/2024,49,TRUE,9/17/2024,FALSE,8/12/2024,FALSE,2/17/2024,CUST005,Logistics,6910,DACH,Head of Ops,38743,19,5196,36789,FALSE,12/12/2025,43,10,FALSE,10,8,465,2,45.1,5,97.2,1/20/2025,49429.2
24,Lynn,Gerbl,lgerbln@ocn.ne.jp,Male,224.198.24.196,24,Event,5/29/2024,70,FALSE,12/23/2023,TRUE,7/20/2023,FALSE,10/18/2025,CUST002,Manufacturing,3410,APAC,CEO,22837,25,5643,13392,FALSE,8/28/2025,7,9,TRUE,32,3,406,21,8.8,89,33.1,5/21/2026,33844.1
25,Jacky,Chopping,jchoppingo@buzzfeed.com,Male,253.233.222.224,25,Website,7/12/2023,21,FALSE,3/5/2024,TRUE,10/4/2025,TRUE,10/29/2024,CUST002,Retail,696,Thailand,Head of Ops,31821,29,8366,36876,FALSE,1/30/2025,2,7,TRUE,6,6,322,20,35,63,20.4,1/11/2026,36250.4
26,Daffie,Redparth,dredparthp@washingtonpost.com,Female,45.4.211.74,26,LinkedIn,11/10/2024,3,FALSE,7/16/2023,TRUE,1/14/2023,FALSE,9/28/2024,CUST005,Tech,5660,Thailand,Consultant,37057,26,748,47929,TRUE,5/26/2024,49,1,FALSE,16,4,141,30,14.1,86,95.2,12/27/2026,33980.7
27,Merrile,Rangall,mrangallq@abc.net.au,Female,119.148.117.68,27,Website,8/14/2024,42,FALSE,10/8/2024,TRUE,7/19/2023,TRUE,5/2/2025,CUST001,Manufacturing,810,APAC,CTO,19610,60,442,33499,FALSE,3/15/2024,1,4,FALSE,25,8,228,8,32.9,55,86.1,2/28/2025,3361.2
28,Griff,Mertel,gmertelr@aol.com,Male,231.28.171.134,28,LinkedIn,4/19/2024,93,FALSE,10/14/2024,FALSE,7/16/2023,TRUE,3/7/2024,CUST004,Manufacturing,1576,DACH,Head of Ops,2551,38,6776,15562,TRUE,1/5/2025,45,2,FALSE,1,0,372,24,19.6,72,4.5,10/24/2026,24073
29,Zed,Lempke,zlempkes@kickstarter.com,Male,251.249.144.122,29,Google Ads,12/9/2023,5,FALSE,12/7/2023,FALSE,11/27/2025,FALSE,2/20/2024,CUST003,Manufacturing,8771,Thailand,Head of Ops,4504,62,9092,44668,FALSE,12/24/2024,50,10,FALSE,40,2,51,20,9.5,57,45.1,9/12/2025,46701
30,Sydney,Echelle,sechellet@nih.gov,Male,119.188.124.249,30,Website,7/10/2023,11,TRUE,9/4/2024,TRUE,4/27/2025,TRUE,7/24/2025,CUST006,Tech,8924,US,Head of Ops,28975,17,9718,21259,TRUE,10/20/2025,41,10,FALSE,16,5,104,20,17.5,5,23.3,9/29/2025,3606.6
31,Benita,Matyushenko,bmatyushenkou@mysql.com,Female,189.242.21.79,31,Website,10/1/2024,49,FALSE,12/31/2023,TRUE,6/25/2024,FALSE,1/22/2024,CUST010,Finance,2211,Thailand,Head of Ops,7836,89,8939,43975,TRUE,7/4/2024,6,7,TRUE,33,5,367,28,45.2,85,24.1,12/3/2025,13171.1
32,Rhonda,O'Gleasane,rogleasanev@icq.com,Genderqueer,254.25.166.145,32,Event,6/8/2024,75,FALSE,12/27/2023,FALSE,1/2/2024,TRUE,12/4/2025,CUST002,Finance,3739,Thailand,Consultant,39387,19,967,14717,TRUE,11/7/2024,29,7,FALSE,30,3,301,27,29.6,98,49.7,3/26/2025,28619.7
33,Ingeborg,Guerin,iguerinw@cafepress.com,Female,58.145.180.33,33,Event,6/25/2023,70,FALSE,4/13/2025,FALSE,3/1/2025,TRUE,12/23/2024,CUST010,Manufacturing,9759,US,CEO,19613,48,5232,39348,FALSE,3/20/2024,42,3,TRUE,5,10,369,15,39.4,83,33.9,9/11/2026,43985.6
34,Andreas,Mulholland,amulhollandx@tiny.cc,Male,38.208.146.55,34,Event,5/5/2023,90,TRUE,1/13/2025,TRUE,10/12/2023,TRUE,3/17/2025,CUST010,Logistics,4216,DACH,CTO,11005,90,389,6098,TRUE,5/10/2024,34,2,FALSE,37,4,167,33,44.4,55,61,5/3/2026,19925.6
35,Urbain,Domenici,udomeniciy@about.me,Male,151.183.106.109,35,Website,5/19/2024,85,FALSE,9/17/2023,TRUE,8/18/2024,TRUE,11/1/2025,CUST008,Tech,5564,US,CEO,38912,70,9986,47936,TRUE,4/30/2025,23,1,TRUE,1,8,324,39,37.1,16,90.4,8/6/2025,28363.9
36,Sutherlan,Hulke,shulkez@github.io,Male,250.52.196.228,36,Google Ads,12/8/2023,26,TRUE,7/13/2025,TRUE,5/4/2024,TRUE,5/11/2025,CUST004,Tech,9387,Vietnam,CTO,30143,40,504,45054,FALSE,6/10/2025,28,8,TRUE,28,8,129,2,32.9,8,87.9,7/28/2026,8605.4
37,Berna,Capper,bcapper10@cyberchimps.com,Female,36.64.44.49,37,Event,8/14/2024,57,FALSE,3/8/2023,FALSE,6/25/2024,TRUE,9/11/2024,CUST005,Manufacturing,2228,US,Consultant,24782,19,7828,21377,FALSE,5/12/2025,37,2,FALSE,40,5,413,14,8.1,33,47,1/25/2025,39135.1
38,Mathian,McLarty,mmclarty11@mapquest.com,Male,253.1.113.200,38,Google Ads,7/14/2023,4,TRUE,4/29/2023,TRUE,1/1/2023,TRUE,1/31/2024,CUST005,Retail,7823,US,Consultant,44115,15,9065,40466,TRUE,6/20/2024,41,9,FALSE,41,3,485,37,11.1,55,5.9,6/5/2026,16359.7
39,Alvan,Bernhardsson,abernhardsson12@unblog.fr,Bigender,124.118.244.29,39,Google Ads,8/20/2023,80,FALSE,12/26/2025,FALSE,7/11/2023,FALSE,2/19/2024,CUST007,Manufacturing,7869,DACH,Head of Ops,31033,27,6119,37367,FALSE,7/4/2025,2,0,TRUE,31,2,132,46,30.1,63,83.5,5/15/2025,5094.7
40,Clifford,Mustchin,cmustchin13@unc.edu,Male,148.152.163.16,40,Event,7/1/2024,50,TRUE,5/19/2025,FALSE,11/5/2025,FALSE,12/5/2024,CUST002,Retail,5107,APAC,Consultant,48419,42,3811,40230,FALSE,8/4/2024,36,3,FALSE,11,4,21,23,34.9,16,70.1,5/26/2026,48748.4
41,Christiane,Raistrick,craistrick14@bbb.org,Female,146.134.172.220,41,Website,12/20/2023,55,TRUE,7/21/2025,TRUE,5/21/2024,TRUE,11/11/2025,CUST002,Manufacturing,2902,Vietnam,CEO,25074,57,6882,20444,FALSE,5/2/2024,23,2,FALSE,36,3,375,28,9,92,32.2,3/25/2025,9367.7
42,Marin,Knappitt,mknappitt15@opensource.org,Female,122.4.166.54,42,LinkedIn,10/24/2024,22,TRUE,12/4/2023,TRUE,2/26/2024,FALSE,9/14/2025,CUST002,Finance,7825,Vietnam,Head of Ops,31023,49,6318,16823,TRUE,8/1/2024,38,6,FALSE,23,8,292,13,2.9,41,49.2,7/19/2026,42793.5
43,Rubia,Lefever,rlefever16@vkontakte.ru,Female,128.77.135.150,43,LinkedIn,6/10/2024,70,FALSE,1/8/2024,FALSE,12/2/2025,FALSE,3/19/2025,CUST008,Manufacturing,4133,APAC,CTO,15612,32,9780,4485,TRUE,8/10/2024,34,1,FALSE,41,0,182,46,16.5,20,67,10/6/2026,38730.7
44,Livy,Wark,lwark17@biblegateway.com,Female,173.154.82.84,44,LinkedIn,4/14/2023,25,TRUE,8/30/2024,FALSE,2/5/2025,TRUE,12/9/2024,CUST010,Tech,8794,DACH,Head of Ops,12016,14,5232,5916,FALSE,3/13/2024,25,3,FALSE,17,8,261,23,7.3,74,42.6,5/23/2026,25706.1
45,Jasmin,Genicke,jgenicke18@stumbleupon.com,Female,185.178.214.39,45,Google Ads,3/8/2023,67,TRUE,7/28/2025,TRUE,7/13/2025,TRUE,8/26/2025,CUST004,Retail,964,DACH,CEO,11156,23,5126,43544,TRUE,12/15/2025,50,6,FALSE,40,8,342,38,4.4,32,76,6/22/2026,24328.3
46,Davis,Forsdicke,dforsdicke19@scientificamerican.com,Male,168.214.113.156,46,Website,5/30/2024,11,FALSE,12/21/2024,TRUE,7/13/2024,FALSE,3/30/2024,CUST004,Finance,6684,APAC,Head of Ops,33154,66,7705,15461,TRUE,7/7/2025,28,0,TRUE,9,1,245,45,4.7,27,89.9,1/2/2026,32089.9
47,Kaja,O' Mullane,komullane1a@europa.eu,Female,193.184.165.36,47,LinkedIn,7/2/2023,40,TRUE,12/4/2023,FALSE,12/15/2023,FALSE,5/25/2024,CUST004,Logistics,2313,APAC,Head of Ops,33437,97,1353,7317,FALSE,2/27/2025,3,8,TRUE,26,3,221,41,49.6,16,86.7,11/26/2026,40317.7
48,Nadeen,Rawlin,nrawlin1b@bandcamp.com,Female,231.247.233.172,48,Event,5/10/2024,100,FALSE,12/6/2023,FALSE,2/1/2025,FALSE,5/17/2024,CUST006,Logistics,9887,Vietnam,CEO,47439,55,6293,14961,FALSE,2/16/2025,35,1,FALSE,30,1,57,34,12,30,14.6,3/23/2026,3598.9
49,Pascal,Franzettoini,pfranzettoini1c@infoseek.co.jp,Male,40.204.246.38,49,Google Ads,4/26/2023,49,FALSE,1/31/2023,FALSE,9/3/2023,TRUE,10/28/2025,CUST008,Retail,1895,Thailand,CEO,37736,98,566,30032,TRUE,8/9/2025,17,5,FALSE,29,3,359,7,42.5,79,48.4,9/15/2025,14526.8
50,Farah,Messum,fmessum1d@oaic.gov.au,Female,118.222.30.2,50,Google Ads,8/31/2024,55,TRUE,4/6/2023,TRUE,12/3/2024,FALSE,1/26/2024,CUST007,Retail,6239,APAC,CEO,26557,23,2392,18476,TRUE,10/27/2024,13,1,FALSE,20,2,376,37,45.2,85,75.8,3/29/2026,22105
51,Bud,St Pierre,bstpierre1e@blogtalkradio.com,Male,119.80.80.45,51,Event,12/15/2023,26,TRUE,6/27/2024,TRUE,10/30/2024,FALSE,4/25/2025,CUST005,Tech,7426,Thailand,Consultant,23458,17,3857,18684,TRUE,10/18/2025,33,2,TRUE,32,0,327,50,7.7,75,30.8,10/19/2025,33771
52,Lem,Guiver,lguiver1f@auda.org.au,Male,49.125.212.122,52,LinkedIn,5/26/2023,65,FALSE,7/11/2023,FALSE,5/4/2024,FALSE,11/3/2025,CUST004,Logistics,1320,Vietnam,CEO,4091,84,6570,5654,FALSE,11/2/2025,18,2,TRUE,47,8,61,4,3.7,15,44.4,5/9/2026,1097.9
53,Fredrick,Olney,folney1g@icio.us,Male,141.192.4.50,53,LinkedIn,10/2/2023,62,TRUE,4/25/2024,FALSE,8/27/2024,FALSE,3/29/2024,CUST009,Manufacturing,8661,US,Consultant,26263,15,717,27264,FALSE,10/29/2024,49,7,FALSE,16,5,178,10,14.1,73,4,7/13/2026,18135.7
54,Theresa,Clackson,tclackson1h@samsung.com,Female,223.83.49.86,54,Event,1/14/2024,21,FALSE,12/12/2024,FALSE,1/30/2025,FALSE,3/14/2025,CUST003,Tech,7981,US,Consultant,33018,71,477,49826,FALSE,1/17/2025,9,5,FALSE,22,6,470,20,21.2,92,80.3,1/27/2026,40236.4
55,Candie,Dougher,cdougher1i@newsvine.com,Female,48.250.13.243,55,Google Ads,6/6/2024,62,FALSE,8/3/2023,TRUE,9/29/2025,FALSE,11/2/2025,CUST002,Retail,5191,DACH,CEO,46484,89,6990,42924,FALSE,4/9/2024,21,10,TRUE,18,6,337,3,22.3,77,20.8,10/15/2026,8993.4
56,Niki,Beggini,nbeggini1j@google.nl,Male,232.212.255.227,56,Google Ads,10/15/2023,98,FALSE,2/9/2025,FALSE,11/10/2023,TRUE,5/12/2024,CUST002,Tech,3259,DACH,Consultant,45667,52,4993,43812,FALSE,9/20/2024,44,0,FALSE,24,0,489,29,3.8,36,17.9,6/15/2026,3068.6
57,Lorrie,Woolnough,lwoolnough1k@oakley.com,Male,194.172.33.215,57,Google Ads,4/26/2023,7,TRUE,7/30/2024,FALSE,10/25/2025,TRUE,1/28/2025,CUST005,Manufacturing,3750,US,CEO,2745,10,3973,34168,TRUE,8/13/2025,0,7,FALSE,42,5,456,35,5.7,12,88,2/1/2026,42933
58,Sella,Henrichsen,shenrichsen1l@unesco.org,Female,173.19.51.184,58,Website,12/10/2023,7,TRUE,12/7/2025,FALSE,7/11/2023,TRUE,3/24/2024,CUST002,Retail,3630,US,Head of Ops,47797,41,1560,4421,FALSE,8/10/2024,39,7,FALSE,17,4,411,47,5.8,99,66.4,10/22/2025,38296.1
59,Daron,Bausor,dbausor1m@utexas.edu,Male,252.34.41.121,59,Google Ads,9/17/2024,87,TRUE,7/25/2023,FALSE,12/21/2024,TRUE,3/26/2025,CUST003,Retail,3878,APAC,CTO,32620,96,7431,48183,TRUE,12/10/2025,42,6,TRUE,20,6,294,50,38,51,43,11/16/2025,26619.1
60,Kip,O'Curran,kocurran1n@scribd.com,Male,104.102.96.3,60,LinkedIn,10/9/2024,50,FALSE,11/30/2023,TRUE,6/26/2025,FALSE,12/30/2025,CUST006,Logistics,4676,DACH,Head of Ops,25880,57,8602,39077,FALSE,12/29/2025,26,1,TRUE,20,2,76,36,10.7,42,3.4,8/15/2026,6729.6
61,Yolande,Teaz,yteaz1o@ed.gov,Female,208.4.204.241,61,Event,11/3/2024,92,TRUE,2/20/2023,TRUE,1/25/2025,TRUE,3/27/2025,CUST008,Finance,3239,US,CEO,49709,12,58,3292,FALSE,6/26/2025,39,0,FALSE,9,3,118,2,44.6,45,55.9,2/1/2026,32492.8
62,Lulu,Conws,lconws1p@hexun.com,Female,59.222.180.194,62,Event,2/5/2023,95,TRUE,9/28/2025,TRUE,10/17/2024,TRUE,1/16/2024,CUST005,Logistics,9034,APAC,CTO,4419,18,3588,44234,TRUE,3/1/2025,3,6,FALSE,0,2,497,32,24,55,10.8,12/24/2025,20705.3
63,Clarinda,Carmont,ccarmont1q@jigsy.com,Female,158.39.191.139,63,Event,1/28/2024,64,TRUE,5/19/2025,FALSE,12/5/2023,FALSE,3/8/2025,CUST002,Finance,8473,US,CTO,24607,89,6279,35527,TRUE,9/16/2025,36,9,FALSE,11,3,171,42,44.5,51,9.3,8/6/2026,29261.1
64,Aubrey,Grunguer,agrunguer1r@eepurl.com,Male,71.198.104.138,64,LinkedIn,3/4/2024,66,TRUE,1/30/2023,FALSE,10/22/2024,FALSE,10/28/2024,CUST009,Finance,5413,Vietnam,CTO,83,98,7212,31829,FALSE,4/12/2025,8,9,FALSE,14,3,20,41,19.4,3,84.1,4/6/2026,20479.2
65,Morry,Farbrace,mfarbrace1s@buzzfeed.com,Male,59.246.148.124,65,Event,8/2/2024,50,TRUE,1/15/2024,FALSE,8/19/2023,TRUE,4/16/2024,CUST009,Manufacturing,5862,US,CTO,9537,56,6759,14508,TRUE,9/4/2024,10,7,FALSE,25,2,163,36,6,51,23.4,4/14/2026,284.3
66,Reena,Minall,rminall1t@constantcontact.com,Female,181.175.124.149,66,Event,4/16/2023,11,TRUE,5/29/2023,TRUE,5/29/2025,FALSE,6/9/2024,CUST010,Manufacturing,3829,APAC,Consultant,4058,21,5660,10055,TRUE,3/24/2024,50,2,TRUE,14,3,48,42,18.3,96,40.3,3/27/2025,29748.9
67,Annora,Cossem,acossem1u@yelp.com,Female,29.11.213.247,67,Google Ads,5/13/2023,80,TRUE,12/25/2023,TRUE,9/5/2023,FALSE,10/29/2024,CUST003,Finance,6003,Thailand,Consultant,5861,58,3767,32407,TRUE,9/13/2024,27,6,TRUE,35,5,24,21,40,96,21.8,4/28/2026,6566.3
68,Terrill,Stronough,tstronough1v@hexun.com,Male,147.166.247.30,68,Website,1/9/2024,38,FALSE,4/16/2023,TRUE,7/11/2024,TRUE,7/24/2024,CUST003,Retail,7226,Thailand,Head of Ops,40241,80,5488,6366,FALSE,2/18/2025,39,7,FALSE,36,2,369,19,34.5,33,58.6,8/1/2026,45378.6
69,Sherlock,Nyssens,snyssens1w@shinystat.com,Male,157.126.145.213,69,Website,3/10/2023,47,FALSE,3/31/2025,FALSE,7/24/2025,TRUE,3/11/2025,CUST007,Logistics,9458,Thailand,CEO,32725,84,9256,20384,TRUE,1/29/2025,37,8,FALSE,42,5,62,15,35.6,67,7,4/13/2026,44558.4
70,Ariadne,Shipston,ashipston1x@imageshack.us,Female,190.33.61.11,70,LinkedIn,3/12/2024,69,FALSE,8/21/2025,TRUE,3/27/2024,FALSE,11/1/2024,CUST008,Logistics,6746,APAC,Head of Ops,10885,41,5917,30075,TRUE,3/25/2024,35,3,TRUE,33,5,492,5,7.1,84,21.4,12/24/2025,15632.7
71,Umeko,Gilffillan,ugilffillan1y@g.co,Female,95.99.133.71,71,Google Ads,6/26/2024,13,TRUE,6/7/2024,TRUE,1/15/2024,TRUE,2/21/2024,CUST005,Manufacturing,2739,Thailand,Head of Ops,1384,17,5822,17593,TRUE,5/15/2024,5,8,TRUE,11,5,186,15,14.1,78,48.6,10/24/2025,21573.2
72,Mirella,Evershed,mevershed1z@merriam-webster.com,Female,170.66.151.179,72,Event,12/16/2024,36,TRUE,9/24/2024,FALSE,3/2/2024,FALSE,5/9/2025,CUST005,Finance,6839,Vietnam,CEO,28352,12,4024,29377,TRUE,8/13/2024,38,2,FALSE,38,1,245,29,8.5,79,12.7,11/26/2025,14990.8
73,Andy,Forsdicke,aforsdicke20@wisc.edu,Male,190.192.113.251,73,Google Ads,2/25/2023,5,TRUE,4/30/2023,TRUE,3/3/2024,FALSE,11/3/2025,CUST009,Finance,9712,DACH,CTO,6561,62,8868,11492,TRUE,3/11/2025,30,4,TRUE,34,5,44,29,32.9,60,0.4,1/26/2025,6897.6
74,Rosco,Helix,rhelix21@e-recht24.de,Male,109.10.83.102,74,Google Ads,5/27/2023,0,FALSE,6/19/2025,TRUE,1/10/2025,TRUE,5/28/2024,CUST004,Finance,4885,APAC,Consultant,11137,48,3874,44233,TRUE,2/27/2024,11,0,TRUE,48,5,39,28,36,58,43.4,12/21/2026,35389.8
75,Herby,Manueau,hmanueau22@last.fm,Male,210.32.100.177,75,Website,3/7/2024,80,FALSE,3/12/2024,FALSE,3/19/2023,FALSE,6/26/2024,CUST007,Tech,8654,DACH,CTO,2280,21,5474,3336,FALSE,1/6/2025,27,9,TRUE,9,10,313,41,1.9,63,85.8,7/8/2026,2384.3
76,Darb,Winsbury,dwinsbury23@mysql.com,Male,142.194.150.168,76,Event,12/5/2024,62,TRUE,5/11/2023,FALSE,12/9/2024,FALSE,9/4/2025,CUST008,Logistics,782,APAC,Consultant,19146,67,9847,439,FALSE,5/29/2025,2,9,TRUE,16,4,369,2,33.5,38,67.6,5/1/2026,29973.4
77,Emelen,Blezard,eblezard24@smugmug.com,Male,64.59.40.102,77,Google Ads,9/13/2023,13,FALSE,3/11/2023,TRUE,6/8/2024,FALSE,6/25/2024,CUST001,Retail,64,Thailand,Head of Ops,8347,89,6785,8671,FALSE,11/16/2024,33,10,TRUE,4,0,450,15,1.2,80,39.4,6/29/2025,44393.8
78,Evvy,Evangelinos,eevangelinos25@edublogs.org,Female,42.142.48.204,78,LinkedIn,8/30/2023,3,TRUE,7/21/2023,TRUE,11/22/2023,TRUE,6/18/2025,CUST005,Logistics,1557,DACH,CTO,45895,35,6978,45253,TRUE,10/21/2025,31,5,TRUE,34,9,439,10,44,43,23.1,6/10/2026,9612.3
